dateTime,depth_m,chloride_mgL
2020-02-25T12:00:00Z,0,53.13022611
2020-02-25T12:00:00Z,5,51.81761267
2020-02-25T12:00:00Z,10,49.22385635
2020-02-25T12:00:00Z,15,50.42607698
2020-02-25T12:00:00Z,20,52.29612055
2020-02-25T12:00:00Z,23.5,52.452296
2020-04-01T10:00:00Z,2,50.17375723
2020-04-01T10:00:00Z,23.5,50.52387736
2020-07-16T12:00:00Z,5,49.61754935
2020-07-16T12:00:00Z,10,50.83004756
2020-07-16T12:00:00Z,15,51.19653437
2020-07-16T12:00:00Z,20,51.12904005
2020-07-16T12:00:00Z,23.5,51.19226582
2020-08-12T12:00:00Z,0,49.42563331
2020-08-12T12:00:00Z,5,49.22802335
2020-08-12T12:00:00Z,10,50.16829274
2020-08-12T12:00:00Z,15,50.82441898
2020-08-12T12:00:00Z,20,50.76626531
2020-08-12T12:00:00Z,23.5,50.57269853
2020-10-02T12:00:00Z,0,50.01134311
2020-10-02T12:00:00Z,5,49.69729563
2020-10-02T12:00:00Z,10,49.64481283
2020-10-02T12:00:00Z,15,50.00306428
2020-10-02T12:00:00Z,20,50.22995949
2020-10-02T12:00:00Z,23.5,50.26049849
2020-12-04T12:00:00Z,0,51.41042781
2020-12-04T12:00:00Z,5,51.34880557
2020-12-04T12:00:00Z,10,51.48133595
2020-12-04T12:00:00Z,15,51.6179934
2020-12-04T12:00:00Z,20,51.78637267
2020-12-04T12:00:00Z,23.5,51.78370333
2021-02-17T15:25:00Z,0,54.0896436
2021-02-17T15:48:00Z,5,50.58427091
2021-02-17T15:44:00Z,10,50.7296398
2021-02-17T15:48:00Z,15,51.3838696
2021-02-17T15:39:00Z,20,49.69141122
2021-02-17T15:17:00Z,23.5,48.67597875
2021-04-16T09:30:00Z,0,50.41749217
2021-04-16T09:28:00Z,5,50.47684782
2021-04-16T09:23:00Z,10,50.44872537
2021-04-16T09:19:00Z,15,50.34507828
2021-04-16T09:12:00Z,20,50.365552
2021-04-16T09:07:00Z,23.5,50.43370367
