dateTime,EC_lowRange_uScm,EC_highRange_uScm,Temp_C,SpCond_uScm,ID
2019-12-19T18:00:00Z,462.3,460,0.97,928.598825120617,DC
2019-12-19T18:30:00Z,465,462.9,1.2,925.4298280687725,DC
2019-12-19T19:00:00Z,469.1,467,1.48,922.7790072715777,DC
2019-12-19T19:30:00Z,473.2,471,1.8,918.4867394695789,DC
2019-12-19T20:00:00Z,477.4,475.5,2.09,916.3791940488351,DC
2019-12-19T20:30:00Z,480.9,478.4,2.34,912.7332392108978,DC
2019-12-19T21:00:00Z,484.8,482.5,2.58,911.7880494349749,DC
2019-12-19T21:30:00Z,487.6,485.5,2.77,910.5913686066359,DC
2019-12-19T22:00:00Z,490.7,488.4,2.94,909.9377724782948,DC
2019-12-19T22:30:00Z,492.2,489.9,3.04,909.1752653849009,DC
2019-12-19T23:00:00Z,493,490.6,3.09,908.7036248124618,DC
2019-12-19T23:30:00Z,493.5,491,3.1,909.090909090909,DC
2019-12-20T00:00:00Z,493.5,491,3.06,910.5069910618255,DC
2019-12-20T00:30:00Z,492.8,490.7,3.02,911.3703057092978,DC
2019-12-20T01:00:00Z,491.9,489.6,2.96,911.4602725444934,DC
2019-12-20T01:30:00Z,490.8,488.8,2.89,912.4680318841121,DC
2019-12-20T02:00:00Z,489.4,487,2.79,912.6857699732004,DC
2019-12-20T02:30:00Z,487.8,485.5,2.68,913.8307483812679,DC
2019-12-20T03:00:00Z,486.2,484,2.58,914.622623681923,DC
2019-12-20T03:30:00Z,484.7,482.6,2.45,916.7062399088234,DC
2019-12-20T04:00:00Z,483.2,481.1,2.35,917.5169257175552,DC
2019-12-20T04:30:00Z,481.8,479.6,2.24,918.7035476208719,DC
2019-12-20T05:00:00Z,480.5,478.5,2.16,919.5556922130834,DC
2019-12-20T05:30:00Z,479.2,477,2.07,920.0146585144753,DC
2019-12-20T06:00:00Z,478.4,476.3,2,921.276595744681,DC
2019-12-20T06:30:00Z,477.2,474.8,1.94,920.6189165083182,DC
2019-12-20T07:00:00Z,476.4,474.1,1.87,921.8892799502207,DC
2019-12-20T07:30:00Z,475.9,473.3,1.85,921.085920015569,DC
2019-12-20T08:00:00Z,475.3,472.9,1.81,921.8143895830491,DC
2019-12-20T08:30:00Z,474.5,472.2,1.78,921.581638627581,DC
2019-12-20T09:00:00Z,473.7,471.1,1.73,921.322824790253,DC
2019-12-20T09:30:00Z,473.1,470.7,1.69,922.0552802209642,DC
2019-12-20T10:00:00Z,472.7,470.3,1.68,921.6508583522773,DC
2019-12-20T10:30:00Z,472.4,469.6,1.67,920.6579489089733,DC
2019-12-20T11:00:00Z,472.2,469.6,1.67,920.6579489089733,DC
2019-12-20T11:30:00Z,472,469.6,1.65,921.4166584911216,DC
2019-12-20T12:00:00Z,471.8,469.2,1.68,919.4951791173474,DC
2019-12-20T12:30:00Z,471.9,469.6,1.7,919.5222243978855,DC
2019-12-20T13:00:00Z,471.9,469.2,1.72,917.9840350602598,DC
2019-12-20T13:30:00Z,471.8,469.5,1.73,918.1937300764673,DC
2019-12-20T14:00:00Z,471.8,469.5,1.74,917.8167885209369,DC
2019-12-20T14:30:00Z,471.9,469.1,1.76,916.282522072037,DC
2019-12-20T15:00:00Z,472.3,469.9,1.8,916.3416536661467,DC
2019-12-20T15:30:00Z,473.1,470.2,1.86,914.6792203244758,DC
2019-12-20T16:00:00Z,474.1,471.7,1.96,913.8639181649102,DC
2019-12-20T16:30:00Z,475.8,473.2,2.09,911.946655360481,DC
2019-12-20T17:00:00Z,477.6,475.4,2.23,911.0246632044918,DC
2019-12-20T17:30:00Z,479.9,477.6,2.39,909.3851748890877,DC
2019-12-20T18:00:00Z,482.5,479.8,2.58,906.6858157904683,DC
2019-12-20T18:30:00Z,485,482.8,2.76,905.8841188832184,DC
2019-12-20T19:00:00Z,488.4,485.7,3.01,902.4358521766599,DC
2019-12-20T19:30:00Z,492.1,489.8,3.27,900.9141574852392,DC
2019-12-20T20:00:00Z,494.5,492,3.45,898.7122111608367,DC
2019-12-20T20:30:00Z,497.1,494.6,3.65,896.5829783377142,DC
2019-12-20T21:00:00Z,499.9,497.5,3.84,895.3639046864878,DC
2019-12-20T21:30:00Z,502,499.7,3.98,894.5898528411329,DC
2019-12-20T22:00:00Z,503.7,501.6,4.11,893.6238442215532,DC
2019-12-20T22:30:00Z,505.1,502.3,4.19,892.2005719462157,DC
2019-12-20T23:00:00Z,506,503.8,4.25,892.8666371289323,DC
2019-12-20T23:30:00Z,506.3,504.2,4.27,892.9109037136734,DC
2019-12-21T00:00:00Z,507,504.5,4.3,892.4464885901293,DC
2019-12-21T00:30:00Z,506.6,504.2,4.25,893.5755427558707,DC
2019-12-21T01:00:00Z,506.3,503.8,4.21,894.1978310644114,DC
2019-12-21T01:30:00Z,506.6,504.2,4.2,895.2414772727274,DC
2019-12-21T02:00:00Z,506,503.9,4.13,897.0501842522209,DC
2019-12-21T02:30:00Z,505.4,503.1,4.04,898.649614175479,DC
2019-12-21T03:00:00Z,504.4,502,3.93,900.3999784764945,DC
2019-12-21T03:30:00Z,503.6,501.3,3.83,902.5439749383363,DC
2019-12-21T04:00:00Z,502.8,500.2,3.77,902.6111121136114,DC
2019-12-21T04:30:00Z,501.8,499.5,3.67,904.7765681888166,DC
2019-12-21T05:00:00Z,500.7,498,3.58,905.1583118252211,DC
2019-12-21T05:30:00Z,499.8,497.3,3.48,907.34929207415,DC
2019-12-21T06:00:00Z,498.4,495.8,3.39,907.7427268899102,DC
2019-12-21T06:30:00Z,496.8,494.4,3.28,909.0240494226668,DC
2019-12-21T07:00:00Z,495.1,492.5,3.2,908.3364072298044,DC
2019-12-21T07:30:00Z,493.6,491.4,3.11,909.4778923210749,DC
2019-12-21T08:00:00Z,492.9,490.3,3.06,909.2089159218189,DC
2019-12-21T08:30:00Z,491.6,489.1,3.01,908.7530889429779,DC
2019-12-21T09:00:00Z,491,488.8,2.99,908.9049629037357,DC
2019-12-21T09:30:00Z,490.4,488,2.95,908.8369494366327,DC
2019-12-21T10:00:00Z,489.8,487.3,2.91,908.955251720729,DC
2019-12-21T10:30:00Z,489.2,486.5,2.89,908.174503910844,DC
2019-12-21T11:00:00Z,488.4,485.4,2.85,907.5441712629708,DC
2019-12-21T11:30:00Z,487.5,485,2.82,907.8656733181087,DC
2019-12-21T12:00:00Z,486.5,483.9,2.77,907.5904495751824,DC
2019-12-21T12:30:00Z,485.8,483.2,2.73,907.7076249694738,DC
2019-12-21T13:00:00Z,484.7,482.1,2.67,907.7899335304198,DC
2019-12-21T13:30:00Z,483.7,480.9,2.63,906.9649020236501,DC
2019-12-21T14:00:00Z,482.8,480.2,2.56,908.16249338074,DC
2019-12-21T14:30:00Z,482.4,479.8,2.54,908.1273422417382,DC
2019-12-21T15:00:00Z,482.5,479.8,2.54,908.1273422417382,DC
2019-12-21T15:30:00Z,483,480.6,2.57,908.5581412934572,DC
2019-12-21T16:00:00Z,484.4,481.7,2.66,907.39554684851,DC
2019-12-21T16:30:00Z,486,483.2,2.77,906.2775474989216,DC
2019-12-21T17:00:00Z,488.1,485.4,2.91,905.4112029247729,DC
2019-12-21T17:30:00Z,490.6,488.3,3.09,904.4434977495416,DC
2019-12-21T18:00:00Z,493.4,490.5,3.27,902.2017032390972,DC
2019-12-21T18:30:00Z,496.6,493.9,3.51,900.1111698347033,DC
2019-12-21T19:00:00Z,500.8,498.3,3.81,897.8216608709753,DC
2019-12-21T19:30:00Z,504.4,502.4,4.05,897.0627622533704,DC
2019-12-21T20:00:00Z,507.8,505.3,4.3,893.8616663718382,DC
2019-12-21T20:30:00Z,511,508.6,4.53,892.0772455404908,DC
2019-12-21T21:00:00Z,513.8,511.6,4.69,892.081814852918,DC
2019-12-21T21:30:00Z,515.6,513.8,4.82,891.6733192183541,DC
2019-12-21T22:00:00Z,517.2,514.9,4.91,890.6609468786219,DC
2019-12-21T22:30:00Z,517.6,515.2,4.96,889.564196422405,DC
2019-12-21T23:00:00Z,517.5,515.2,4.97,889.2417626042081,DC
2019-12-21T23:30:00Z,517.2,514.9,4.96,889.0462048484011,DC
2019-12-22T00:00:00Z,516.4,514.1,4.9,889.6002768645095,DC
2019-12-22T00:30:00Z,515.2,513,4.81,890.6095380288538,DC
2019-12-22T01:00:00Z,514,511.6,4.69,892.081814852918,DC
2019-12-22T01:30:00Z,512.4,509.7,4.54,893.6774555528282,DC
2019-12-22T02:00:00Z,510.9,508.3,4.41,895.509240499639,DC
2019-12-22T02:30:00Z,510.1,507.6,4.29,898.2639933461927,DC
2019-12-22T03:00:00Z,509.8,506.9,4.19,900.3712321710865,DC
