dateTime,EC_lowRange_uScm,EC_highRange_uScm,Temp_C,SpCond_uScm,ID
2019-12-19T06:00:00Z,691.8,688.9,1.05,1385.977265868625,SW
2019-12-19T06:30:00Z,692.8,690.1,1.04,1388.9783431285728,SW
2019-12-19T07:00:00Z,694.6,692,1.04,1392.8025118750504,SW
2019-12-19T07:30:00Z,691.7,689.4,0.99,1390.5080780169023,SW
2019-12-19T08:00:00Z,691.1,688.6,0.96,1390.6616043299139,SW
2019-12-19T08:30:00Z,690.8,688.2,0.95,1390.443479139307,SW
2019-12-19T09:00:00Z,689,686.3,0.92,1388.3719048389707,SW
2019-12-19T09:30:00Z,689.2,686.8,0.88,1391.7483991245847,SW
2019-12-19T10:00:00Z,687.4,684.5,0.84,1389.4527443975317,SW
2019-12-19T10:30:00Z,682.2,679.5,0.75,1384.6153846153845,SW
2019-12-19T11:00:00Z,682.2,679.5,0.77,1383.4313984974654,SW
2019-12-19T11:30:00Z,684.9,682.6,0.75,1390.9322465613857,SW
2019-12-19T12:00:00Z,685.8,683,0.78,1389.9629614554926,SW
2019-12-19T12:30:00Z,686,683,0.79,1389.3691897719646,SW
2019-12-19T13:00:00Z,681.9,679.1,0.77,1382.6170165115948,SW
2019-12-19T13:30:00Z,684.1,681.8,0.74,1389.8968483711828,SW
2019-12-19T14:00:00Z,685.5,683,0.78,1389.9629614554926,SW
2019-12-19T14:30:00Z,685.9,683,0.77,1390.557240873832,SW
2019-12-19T15:00:00Z,684.4,682.2,0.72,1391.9040235044483,SW
2019-12-19T15:30:00Z,682.6,679.9,0.75,1385.430463576159,SW
2019-12-19T16:00:00Z,680.3,678,0.77,1380.377466050451,SW
2019-12-19T16:30:00Z,679.6,676.8,0.79,1376.757053642263,SW
2019-12-19T17:00:00Z,677.6,675.2,0.84,1370.5748619681717,SW
2019-12-19T17:30:00Z,675.6,673.3,0.86,1365.5538879649537,SW
2019-12-19T18:00:00Z,674.1,671.7,0.88,1361.1493880197781,SW
2019-12-19T18:30:00Z,673.9,671.3,0.93,1357.450508563687,SW
2019-12-19T19:00:00Z,674.8,672.4,1,1355.6451612903224,SW
2019-12-19T19:30:00Z,675.5,673.2,1.03,1355.5363147614926,SW
2019-12-19T20:00:00Z,677.2,674.7,1.07,1356.2626892073895,SW
2019-12-19T20:30:00Z,678.2,675.4,1.08,1357.0969297540591,SW
2019-12-19T21:00:00Z,679.8,677.4,1.09,1360.541485066983,SW
2019-12-19T21:30:00Z,680.7,678.1,1.08,1362.5221025558594,SW
2019-12-19T22:00:00Z,682,679.3,1.09,1364.3575890256884,SW
2019-12-19T22:30:00Z,680.8,678.1,1.07,1363.0972721973185,SW
2019-12-19T23:00:00Z,681.1,678.9,1.07,1364.7054093714194,SW
2019-12-19T23:30:00Z,683.2,680.8,1.09,1367.3703026772982,SW
2019-12-20T00:00:00Z,683.2,680.8,1.1,1366.7938165027103,SW
2019-12-20T00:30:00Z,682.7,680,1.1,1365.1877133105802,SW
2019-12-20T01:00:00Z,682.7,680,1.1,1365.1877133105802,SW
2019-12-20T01:30:00Z,681.5,678.9,1.05,1365.8585655366662,SW
2019-12-20T02:00:00Z,680,677.4,1.09,1360.541485066983,SW
2019-12-20T02:30:00Z,681.8,679.3,1.14,1361.4863510642563,SW
2019-12-20T03:00:00Z,678.6,675.8,1.07,1358.4738778217782,SW
2019-12-20T03:30:00Z,679.1,676.6,1.1,1358.3617747440273,SW
2019-12-20T04:00:00Z,677.6,675.1,1.08,1356.4941327760814,SW
2019-12-20T04:30:00Z,677.9,675.4,1.09,1356.524533531503,SW
2019-12-20T05:00:00Z,675.6,673.5,1.07,1353.850483446238,SW
2019-12-20T05:30:00Z,676.5,673.9,1.09,1353.5118198798932,SW
2019-12-20T06:00:00Z,674.8,672.4,1.07,1351.6392948318492,SW
2019-12-20T06:30:00Z,675.8,673.5,1.09,1352.7084295727973,SW
2019-12-20T07:00:00Z,675.6,673.5,1.07,1353.850483446238,SW
2019-12-20T07:30:00Z,676.6,673.9,1.09,1353.5118198798932,SW
2019-12-20T08:00:00Z,676.3,673.9,1.08,1354.08294486417,SW
2019-12-20T08:30:00Z,678.1,675.8,1.12,1355.612613335473,SW
2019-12-20T09:00:00Z,680,677.3,1.12,1358.621519698307,SW
2019-12-20T09:30:00Z,683.6,681.1,1.18,1362.7996318380087,SW
2019-12-20T10:00:00Z,686.6,684.2,1.18,1369.002361038857,SW
2019-12-20T10:30:00Z,688.3,686.1,1.2,1371.6513394642145,SW
