dateTime,EC_lowRange_uScm,EC_highRange_uScm,Temp_C,SpCond_uScm,ID
2020-10-30T17:00:00Z,505.3,502.9,4.6,879.8110566829951,WIC
2020-10-30T17:30:00Z,507.5,504.9,4.72,879.4328711767575,WIC
2020-10-30T18:00:00Z,509.5,506.8,4.86,878.2448965445536,WIC
2020-10-30T18:30:00Z,512.1,509.5,5.08,875.9111538990511,WIC
2020-10-30T19:00:00Z,514.5,512.2,5.25,875.1815463477146,WIC
2020-10-30T19:30:00Z,516.4,514.1,5.43,872.7908595487497,WIC
2020-10-30T20:00:00Z,519.1,516.5,5.62,870.9655660854609,WIC
2020-10-30T20:30:00Z,520.9,518.4,5.77,869.5506315312746,WIC
2020-10-30T21:00:00Z,522.1,519.5,5.88,868.0323486164953,WIC
2020-10-30T21:30:00Z,522.8,520.3,5.97,866.6322434498726,WIC
2020-10-30T22:00:00Z,524,521.4,6.06,865.7390495799156,WIC
2020-10-30T22:30:00Z,524.3,521.8,6.11,864.8953274436027,WIC
2020-10-30T23:00:00Z,525,522.2,6.17,863.7544039565311,WIC
2020-10-30T23:30:00Z,525.5,523.4,6.2,864.8380700594845,WIC
2020-10-31T00:00:00Z,524.9,522.6,6.18,864.1158768477794,WIC
2020-10-31T00:30:00Z,524.4,522.2,6.13,864.9561890248955,WIC
2020-10-31T01:00:00Z,523.5,521,6.1,863.8700049742995,WIC
2020-10-31T01:30:00Z,523.2,520.6,6.06,864.4107196227543,WIC
2020-10-31T02:00:00Z,522.1,519.5,5.97,865.299731832037,WIC
2020-10-31T02:30:00Z,521.2,518.7,5.89,866.3916217073946,WIC
2020-10-31T03:00:00Z,520.1,517.6,5.81,866.9871526440095,WIC
2020-10-31T03:30:00Z,519.1,516.4,5.73,867.4180706498918,WIC
2020-10-31T04:00:00Z,518.4,516,5.68,868.2775795921116,WIC
2020-10-31T04:30:00Z,517.9,515.2,5.62,868.7733971872788,WIC
2020-10-31T05:00:00Z,516.7,514.5,5.54,870.0578347481991,WIC
