dateTime,EC_lowRange_uScm,EC_highRange_uScm,Temp_C,SpCond_uScm,ID,outlier
2019-12-18T18:00:00Z,463.8,460.4,0.15,962.8777580257241,YN,N
2019-12-18T18:30:00Z,462.9,459.6,0.13,962.0496933414272,YN,N
2019-12-18T19:00:00Z,462,458.5,0.13,959.7471375044481,YN,N
2019-12-18T19:30:00Z,461.7,458.1,0.12,959.3315463226672,YN,N
2019-12-18T20:00:00Z,461.5,458.1,0.1,960.1760637182981,YN,N
2019-12-18T20:30:00Z,460.6,457,0.07,959.1369865888724,YN,N
2019-12-18T21:00:00Z,460.7,457.4,0.06,960.3997816318819,YN,N
2019-12-18T21:30:00Z,461.4,457.8,0.05,961.6636907887828,YN,N
2019-12-18T22:00:00Z,461.7,458.5,0.04,963.5591795561535,YN,N
2019-12-18T22:30:00Z,462,458.9,0.03,964.8255997308833,YN,N
2019-12-18T23:00:00Z,462.2,458.9,0,966.1052631578947,YN,N
2019-12-18T23:30:00Z,462.2,458.9,-0.01,966.5325722951201,YN,N
2019-12-19T00:00:00Z,462.5,459.3,-0.01,967.3750500221151,YN,N
2019-12-19T00:30:00Z,463.2,459.7,-0.02,968.6459606388806,YN,N
2019-12-19T01:00:00Z,463.5,459.7,-0.02,968.6459606388806,YN,N
2019-12-19T01:30:00Z,463.9,460.5,-0.04,971.1911591024126,YN,N
2019-12-19T02:00:00Z,464.5,460.9,-0.05,972.465449941977,YN,N
2019-12-19T02:30:00Z,465.1,461.2,-0.04,972.667454023958,YN,N
2019-12-19T03:00:00Z,465.7,461.6,-0.04,973.5110511219841,YN,N
2019-12-19T03:30:00Z,466.4,462.7,0,974.1052631578948,YN,N
2019-12-19T04:00:00Z,468.6,465,0.06,976.3574518120356,YN,N
2019-12-19T04:30:00Z,469.7,465.7,0.12,975.2471100686884,YN,N
2019-12-19T05:00:00Z,471,468,0.21,976.1999123923156,YN,N
2019-12-19T05:30:00Z,472.1,468.7,0.28,974.6714357012145,YN,N
2019-12-19T06:00:00Z,473,469.4,0.39,971.4605020799271,YN,N
2019-12-19T06:30:00Z,473.7,469.8,0.47,968.9195041970014,YN,N
2019-12-19T07:00:00Z,473.9,470.5,0.57,966.1786146990574,YN,N
2019-12-19T07:30:00Z,473.6,470,0.64,962.2471542052248,YN,N
2019-12-19T08:00:00Z,473.5,470,0.7,959.7712885440067,YN,N
2019-12-19T08:30:00Z,472.3,468.9,0.7,957.5250153154994,YN,N
2019-12-19T09:00:00Z,471.4,468.1,0.73,954.6631860175802,YN,N
2019-12-19T09:30:00Z,470.1,466.6,0.69,953.2370426362132,YN,N
2019-12-19T10:00:00Z,468.8,465.5,0.67,951.806489868526,YN,N
2019-12-19T10:30:00Z,467.2,463.6,0.64,949.1442142330686,YN,N
2019-12-19T11:00:00Z,465.6,462.1,0.61,947.2950534019394,YN,N
2019-12-19T11:30:00Z,464.6,461,0.55,947.4874113657382,YN,N
2019-12-19T12:00:00Z,463.9,460.2,0.47,949.1203827830142,YN,N
2019-12-19T12:30:00Z,462.8,459.1,0.45,947.672618433275,YN,N
2019-12-19T13:00:00Z,462.4,458.7,0.4,948.9035995035168,YN,N
2019-12-19T13:30:00Z,462,458.8,0.38,949.9358151476252,YN,N
2019-12-19T14:00:00Z,460.5,456.9,0.34,947.6500601485045,YN,N
2019-12-19T14:30:00Z,458.4,455,0.32,944.5320933322263,YN,N
2019-12-19T15:00:00Z,457.1,453.5,0.29,942.651063210626,YN,N
2019-12-19T15:30:00Z,457.4,453.5,0.27,943.4747331849295,YN,N
2019-12-19T16:00:00Z,456.9,453.1,0.24,943.8796766936091,YN,N
2019-12-19T16:30:00Z,454.4,451.2,0.23,940.3330346164266,YN,N
2019-12-19T17:00:00Z,453,449.7,0.21,938.0279927410776,YN,N
2019-12-19T17:30:00Z,451.6,448.2,0.17,936.5401090749523,YN,N
2019-12-19T18:00:00Z,451.8,448.6,0.16,937.7874404214399,YN,N
2019-12-19T18:30:00Z,451.5,448.2,0.13,938.186841940008,YN,N
2019-12-19T19:00:00Z,452.2,448.6,0.13,939.0241349716367,YN,N
2019-12-19T19:30:00Z,452.6,449.4,0.1,941.9408928945713,YN,N
2019-12-19T20:00:00Z,447.9,444.4,0.09,931.8710813814507,YN,N
2019-12-19T20:30:00Z,450.4,446.7,0.07,937.5196759502173,YN,N
2019-12-19T21:00:00Z,455.5,452,0.09,947.8076705319886,YN,N
2019-12-19T21:30:00Z,456.1,452.4,0.07,949.4826536822885,YN,N
2019-12-19T22:00:00Z,456.3,452.8,0.06,950.7411917859995,YN,N
2019-12-19T22:30:00Z,455.1,451.7,0.04,949.2686617350371,YN,N
2019-12-19T23:00:00Z,456.7,453.2,0.03,952.8414944389547,YN,N
2019-12-19T23:30:00Z,456.9,453.2,0.04,952.4209818426363,YN,N
2019-12-20T00:00:00Z,458,454.4,0.01,956.2088339891836,YN,N
2019-12-20T00:30:00Z,459.2,455.9,0,959.7894736842105,YN,N
2019-12-20T01:00:00Z,460.8,457,0,962.1052631578948,YN,N
2019-12-20T01:30:00Z,459.8,456.3,-0.01,961.0564670696521,YN,N
2019-12-20T02:00:00Z,461,457,-0.01,962.5308030918934,YN,N
2019-12-20T02:30:00Z,461.2,457.8,-0.01,964.2157585458835,YN,N
2019-12-20T03:00:00Z,462.7,458.9,0.01,965.6783316849392,YN,N
2019-12-20T03:30:00Z,463.4,459.7,0.05,965.654868186115,YN,N
2019-12-20T04:00:00Z,463.6,460,0.1,964.1584573464683,YN,N
